iter	RMSE
0	0.02748262404
1	0.02741971698
2	0.02733927798
3	0.02728494217
4	0.02722713618
5	0.0271767639
6	0.02713326614
7	0.02707927776
8	0.02704053045
9	0.02700624266
10	0.02695728973
11	0.02692642914
12	0.02688129872
13	0.026848705
14	0.02682018465
15	0.02678975061
16	0.02675880904
17	0.02671726557
18	0.02668402643
19	0.02665022931
20	0.02663491929
21	0.02660696896
22	0.02659253371
23	0.02656794832
24	0.02654479252
25	0.026528963
26	0.02650672353
27	0.02647221238
28	0.02644869112
29	0.02643303589
30	0.02639761806
31	0.0263830867
32	0.02637204006
33	0.0263465509
34	0.02631366299
35	0.02629215488
36	0.02624880536
37	0.02622863374
38	0.02620330846
39	0.02617946223
40	0.02616890662
41	0.02613845635
42	0.02612292169
43	0.02610658531
44	0.02607535237
45	0.02605692182
46	0.02602709602
47	0.02600708375
48	0.02598717792
49	0.02596247784
50	0.02594551036
51	0.02592893987
52	0.02591054661
53	0.02588645814
54	0.02587315732
55	0.02585043179
56	0.02582621311
57	0.02581582273
58	0.02578870466
59	0.02577373353
60	0.02575466875
61	0.02572724295
62	0.02571315654
63	0.02568482824
64	0.02566565975
65	0.02564733557
66	0.02562513826
67	0.02559615485
68	0.02558414149
69	0.02557020368
70	0.02554281463
71	0.02552491577
72	0.02550908375
73	0.0254825033
74	0.02546564609
75	0.02543860873
76	0.02541539896
77	0.02538793379
78	0.0253594235
79	0.02533390749
80	0.02531192425
81	0.02529635103
82	0.02526599316
83	0.02524529465
84	0.02523037388
85	0.02519716342
86	0.02517134429
87	0.02514734483
88	0.02512657551
89	0.02510311302
90	0.02509304152
91	0.02507790862
92	0.02504699732
93	0.02501237315
94	0.02499690637
95	0.0249746654
96	0.02494481924
97	0.02491594678
98	0.0248919802
99	0.02487883892
100	0.02484727569
101	0.0248259988
102	0.02479726157
103	0.02477705525
104	0.02475295198
105	0.02474137635
106	0.02472124273
107	0.02471221843
108	0.0246788382
109	0.02465328827
110	0.0246222754
111	0.02460029389
112	0.0245856627
113	0.02454922516
114	0.02453315192
115	0.02449573713
116	0.02447275062
117	0.02444850493
118	0.02441411444
119	0.02438113439
120	0.02435830474
121	0.02434013486
122	0.02432003801
123	0.02429346223
124	0.02427607602
125	0.02426011489
126	0.02423043354
127	0.02421964326
128	0.02420064892
129	0.02417292828
130	0.02415937305
131	0.0241309807
132	0.02410479982
133	0.02407232737
134	0.02404892986
135	0.02402187502
136	0.0240033009
137	0.02397425878
138	0.02394361053
139	0.02392522505
140	0.02390594419
141	0.02387509935
142	0.02385201365
143	0.02383158344
144	0.02380295037
145	0.02377963065
146	0.02376680858
147	0.0237541668
148	0.02374012208
149	0.02372822769
150	0.02370535964
151	0.02368932244
152	0.02366919533
153	0.02363139369
154	0.02361535424
155	0.02360616356
156	0.0235888747
157	0.02357138342
158	0.02353862897
159	0.02351063554
160	0.02348833115
161	0.02345849871
162	0.02342973535
163	0.02341058912
164	0.02338850358
165	0.02335982802
166	0.02334327134
167	0.02333027101
168	0.02330983134
169	0.02328348071
170	0.02326282365
171	0.02324915768
172	0.02323656545
173	0.02321225361
174	0.02318279104
175	0.02315993841
176	0.023144864
177	0.02312785197
178	0.0231160336
179	0.02309747331
180	0.02307785423
181	0.02305845175
182	0.02303667294
183	0.02301341624
184	0.02299366101
185	0.02297653241
186	0.0229493429
187	0.02293389907
188	0.02292212591
189	0.02289143773
190	0.0228837958
191	0.02287381859
192	0.02284754187
193	0.02282771231
194	0.02280281186
195	0.02279252005
196	0.02278178189
197	0.02275758809
198	0.02273683932
199	0.02270896474
200	0.02267628528
201	0.02264782383
202	0.02263342894
203	0.02261846652
204	0.02260222397
205	0.02258965735
206	0.02256764888
207	0.02254372581
208	0.02253294422
209	0.02250965776
210	0.02249202769
211	0.02248346714
212	0.02246146885
213	0.02245532842
214	0.02244089064
215	0.02242369864
216	0.02240738891
217	0.0223922144
218	0.02237252868
219	0.02234821591
220	0.02233086476
221	0.02231286012
222	0.02229128342
223	0.02227902685
224	0.02227261236
225	0.02225628119
226	0.02223748741
227	0.0222198064
228	0.02221300375
229	0.02219446656
230	0.02218349562
231	0.02215565312
232	0.02214861811
233	0.02212711
