security_id,trading_symbol,company_name,lot_size,tick_size
17307,AJMERA,AJMERA REALTY & INF I LTD,1.0,5.0
3403,AJOONI,AJOONI BIOTECH LIMITED,1.0,1.0
13510,AKASH,AKASH INFRA-PROJECTS LTD,1.0,1.0
2176,AKG,AKG EXIM LIMITED,1.0,1.0
20178,AKSHARCHEM,AKSHARCHEM INDIA LIMITED,1.0,1.0
24715,AKUMS,AKUMS DRUGS AND PHARMA L,1.0,5.0
1467,AKZOINDIA,AKZO NOBEL INDIA LIMITED,1.0,10.0
9921,ALANKIT,ALANKIT LIMITED,1.0,1.0
17256,ALBERTDAVD,ALBERT DAVID LIMITED,1.0,5.0
79,ALEMBICLTD,ALEMBIC LIMITED,1.0,1.0
13656,ALICON,ALICON CASTALLOY LIMITED,1.0,5.0
5265,ALIVUS,ALIVUS LIFE SCIENCES LTD,1.0,10.0
16959,ALKALI,ALKALI METALS LTD,1.0,1.0
11703,ALKEM,ALKEM LABORATORIES LTD.,1.0,50.0
4487,ALKYLAMINE,ALKYL AMINES CHEM. LTD,1.0,10.0
13501,ALLCARGO,ALLCARGO LOGISTICS LTD,1.0,1.0
11798,ALLDIGI,ALLDIGI TECH LIMITED,1.0,5.0
16719,ALMONDZ,ALMONDZ GLOBAL SEC LTD,1.0,1.0
17675,ALOKINDS,ALOK INDUSTRIES LIMITED,1.0,1.0
14848,ALPA,ALPA LABORATORIES LTD,1.0,1.0
7412,ALPHA,KOTAKMAMC - KOTAKALPHA,1.0,1.0
19640,ALPHAETF,MIRAEAMC - ALPHAETF,1.0,1.0
14597,ALPHAGEO,ALPHAGEO (INDIA) LIMITED,1.0,5.0
22344,ALPL30IETF,ICICIPRAMC - ICICIALPLV,1.0,1.0
1185,AMBER,AMBER ENTERPRISES (I) LTD,1.0,50.0
11496,AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,1.0,1.0
15234,AMBIKCO,AMBIKA COTTON MILL LTD.,1.0,10.0
1270,AMBUJACEM,AMBUJA CEMENTS LTD,1.0,5.0
14398,AMDIND,AMD INDUSTRIES LIMITED,1.0,1.0
2598,AMJLAND,AMJ LAND HOLDINGS LIMITED,1.0,1.0
19867,AMNPLST,AMINES & PLASTICIZERS LTD,1.0,1.0
17547,AMRUTANJAN,AMRUTAJAN HEALTH LTD,1.0,5.0
7145,ANANDRATHI,ANAND RATHI WEALTH LTD,1.0,10.0
13620,ANANTRAJ,ANANT RAJ LIMITED,1.0,5.0
166,ANDHRAPAP,ANDHRA PAPER LIMITED,1.0,1.0
136,ANDHRSUGAR,ANDHRA SUGARS LTD,1.0,1.0
324,ANGELONE,ANGEL ONE LIMITED,1.0,10.0
3727,ANMOL,ANMOL INDIA LIMITED,1.0,1.0
5194,ANTGRAPHIC,ANTARCTICA LTD,1.0,1.0
28314,ANUHPHR,ANUH PHARMA LIMITED,1.0,1.0
9014,ANUP,THE ANUP ENGINEERING LTD,1.0,10.0
2829,ANURAS,ANUPAM RASAYAN INDIA LTD,1.0,10.0
30472,AONELIQUID,AONEAMC - AONELIQUID,1.0,1.0
757096,AONENIFTY,AONEAMC - AONENIFTY,1.0,1.0
29975,AONETOTAL,AONEAMC - AONETOTAL,1.0,1.0
11491,APARINDS,APAR INDUSTRIES LTD.,1.0,50.0
20453,APCL,ANJANI PORTLAND CEM LTD,1.0,1.0
154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,1.0,5.0
21623,APEX,APEX FROZEN FOODS LIMITED,1.0,1.0
25780,APLAPOLLO,APL APOLLO TUBES LTD,1.0,10.0
25328,APLLTD,ALEMBIC PHARMA LTD,1.0,10.0
1134,APOLLO,APOLLO MICRO SYSTEMS LTD,1.0,1.0
157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,1.0,50.0
14361,APOLLOPIPE,APOLLO PIPES LIMITED,1.0,5.0
163,APOLLOTYRE,APOLLO TYRES LTD,1.0,5.0
6302,APOLSINHOT,APOLLO SINDOORI HOTEL LTD,1.0,10.0
5435,APTUS,APTUS VALUE HSG FIN I LTD,1.0,5.0
16795,ARCHIDPLY,ARCHIDPLY IND. LTD,1.0,1.0
5688,ARCHIES,ARCHIES LTD,1.0,1.0
100,ARE&M,AMARA RAJA ENERGY MOB LTD,1.0,10.0
181,ARENTERP,RAJDARSHAN INDUSTRIES LTD,1.0,1.0
15204,ARIES,ARIES AGRO LTD.,1.0,5.0
3813,ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,1.0,1.0
